Name,Email,Financial Status,Created at,Currency,Subtotal,Discount Amount,Shipping,Taxes,Total,Refunded Amount,Lineitem quantity,Lineitem name,Lineitem price,Lineitem sku
#1081,emma.garcia18@example.com,paid,2026-06-22 20:23:00 +0200,EUR,260.10,28.90,0.00,52.02,312.12,,1,Montre Automatique 38mm,289.00,WTC-010
#1082,manon.thomas37@example.com,paid,2026-06-22 09:33:00 +0200,EUR,59.00,0.00,5.90,11.80,76.70,,1,Bracelet Cuir Camel,59.00,BRW-002
#1083,theo.robert41575@example.com,paid,2026-06-22 17:06:00 +0200,EUR,189.00,0.00,0.00,37.80,226.80,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1084,lea.michel43@example.com,paid,2026-06-22 18:51:00 +0200,EUR,260.10,28.90,0.00,52.02,312.12,,1,Montre Automatique 38mm,289.00,WTC-010
#1085,gabriel.bernard64@example.com,paid,2026-06-22 13:41:00 +0200,EUR,128.00,0.00,0.00,25.60,153.60,,1,Ceinture Reversible,79.00,ACC-200
#1085,,,,,,,,,,,1,Bracelet Acier Noir,49.00,BRW-001
#1086,arthur.petit30@example.com,paid,2026-06-22 11:55:00 +0200,EUR,59.00,0.00,5.90,11.80,76.70,,1,Bracelet Cuir Camel,59.00,BRW-002
#1087,nathan.michel4@example.com,paid,2026-06-22 12:20:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1088,jade.petit21254@example.com,refunded,2026-06-22 11:42:00 +0200,EUR,188.00,0.00,0.00,37.60,225.60,172.57,1,Porte-cartes,39.00,ACC-201
#1088,,,,,,,,,,,1,Montre Quartz 34mm,149.00,WTC-011
#1089,theo.lefebvre91@example.com,paid,2026-06-22 17:50:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1090,arthur.durand92@example.com,paid,2026-06-22 13:14:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1091,jade.leroy25@example.com,paid,2026-06-22 08:03:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1092,lea.michel43@example.com,paid,2026-06-22 14:51:00 +0200,EUR,188.00,0.00,0.00,37.60,225.60,,1,Montre Quartz 34mm,149.00,WTC-011
#1092,,,,,,,,,,,1,Porte-cartes,39.00,ACC-201
#1093,louis.laurent2831@example.com,paid,2026-06-22 12:24:00 +0200,EUR,49.00,0.00,5.90,9.80,64.70,,1,Bracelet Acier Noir,49.00,BRW-001
#1094,jade.lefebvre11475@example.com,paid,2026-06-22 14:44:00 +0200,EUR,138.00,0.00,0.00,27.60,165.60,,1,Bracelet Cuir Camel,59.00,BRW-002
#1094,,,,,,,,,,,1,Ceinture Reversible,79.00,ACC-200
#1095,theo.bernard88@example.com,paid,2026-06-22 16:55:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1096,theo.simon10136@example.com,paid,2026-06-22 11:01:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1097,hugo.garcia37905@example.com,paid,2026-06-22 13:13:00 +0200,EUR,427.00,0.00,0.00,85.40,512.40,,2,Sac Bandouliere Cuir,189.00,BAG-100
#1097,,,,,,,,,,,1,Bracelet Acier Noir,49.00,BRW-001
#1098,arthur.garcia47062@example.com,refunded,2026-06-22 09:45:00 +0200,EUR,59.00,0.00,5.90,11.80,76.70,50.31,1,Bracelet Cuir Camel,59.00,BRW-002
#1099,paul.lefebvre60@example.com,paid,2026-06-22 12:42:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,,1,Pochette Zippee,69.00,BAG-101
#1100,hugo.lefebvre65056@example.com,paid,2026-06-22 18:00:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1101,lucas.thomas32908@example.com,paid,2026-06-22 13:55:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1102,lucas.garcia47677@example.com,paid,2026-06-22 16:29:00 +0200,EUR,157.00,0.00,0.00,31.40,188.40,,1,Ceinture Reversible,79.00,ACC-200
#1102,,,,,,,,,,,2,Porte-cartes,39.00,ACC-201
#1103,louis.simon28492@example.com,paid,2026-06-22 17:56:00 +0200,EUR,49.00,0.00,5.90,9.80,64.70,,1,Bracelet Acier Noir,49.00,BRW-001
#1104,sarah.simon72@example.com,paid,2026-06-22 15:30:00 +0200,EUR,62.10,6.90,5.90,12.42,80.42,,1,Pochette Zippee,69.00,BAG-101
#1105,lea.bernard12@example.com,paid,2026-06-22 22:03:00 +0200,EUR,188.00,0.00,0.00,37.60,225.60,,1,Montre Quartz 34mm,149.00,WTC-011
#1105,,,,,,,,,,,1,Porte-cartes,39.00,ACC-201
#1106,lucas.simon73@example.com,paid,2026-06-23 22:30:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,,1,Pochette Zippee,69.00,BAG-101
#1107,lucas.martin50@example.com,paid,2026-06-23 13:31:00 +0200,EUR,98.00,0.00,0.00,19.60,117.60,,2,Bracelet Acier Noir,49.00,BRW-001
#1108,gabriel.martin29@example.com,refunded,2026-06-23 16:40:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,45.01,1,Pochette Zippee,69.00,BAG-101
#1109,theo.petit95957@example.com,paid,2026-06-23 11:01:00 +0200,EUR,35.10,3.90,5.90,7.02,48.02,,1,Porte-cartes,39.00,ACC-201
#1110,nathan.bernard2@example.com,paid,2026-06-23 12:09:00 +0200,EUR,375.30,41.70,0.00,75.06,450.36,,2,Sac Bandouliere Cuir,189.00,BAG-100
#1110,,,,,,,,,,,1,Porte-cartes,39.00,ACC-201
#1111,manon.durand66@example.com,paid,2026-06-23 12:26:00 +0200,EUR,78.00,0.00,5.90,15.60,99.50,,2,Porte-cartes,39.00,ACC-201
#1112,gabriel.robert16@example.com,paid,2026-06-23 14:39:00 +0200,EUR,59.00,0.00,5.90,11.80,76.70,,1,Bracelet Cuir Camel,59.00,BRW-002
#1113,ines.lefebvre77327@example.com,paid,2026-06-23 17:18:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1113,ines.lefebvre77327@example.com,paid,2026-06-23 17:18:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1114,manon.robert2@example.com,paid,2026-06-23 09:30:00 +0200,EUR,35.10,3.90,5.90,7.02,48.02,,1,Porte-cartes,39.00,ACC-201
#1115,lucas.petit75865@example.com,paid,2026-06-23 19:50:00 +0200,EUR,289.00,0.00,0.00,57.80,346.80,,1,Montre Automatique 38mm,289.00,WTC-010
#1116,louis.petit34@example.com,paid,2026-06-23 12:32:00 +0200,EUR,98.00,0.00,0.00,19.60,117.60,,2,Bracelet Acier Noir,49.00,BRW-001
#1117,camille.lefebvre45@example.com,paid,2026-06-23 15:38:00 +0200,EUR,170.10,18.90,0.00,34.02,204.12,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1118,sarah.petit9@example.com,paid,2026-06-23 18:00:00 +0200,EUR,59.00,0.00,5.90,11.80,76.70,,1,Bracelet Cuir Camel,59.00,BRW-002
#1119,gabriel.leroy22@example.com,paid,2026-06-23 13:08:00 +0200,EUR,137.00,0.00,0.00,27.40,164.40,,1,Bracelet Cuir Camel,59.00,BRW-002
#1119,,,,,,,,,,,2,Porte-cartes,39.00,ACC-201
#1120,hugo.michel99@example.com,paid,2026-06-23 14:04:00 +0200,EUR,347.00,0.00,0.00,69.40,416.40,,1,Bracelet Acier Noir,49.00,BRW-001
#1120,,,,,,,,,,,2,Montre Quartz 34mm,149.00,WTC-011
#1121,lea.garcia3@example.com,paid,2026-06-23 15:21:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,,1,Pochette Zippee,69.00,BAG-101
#1122,jade.garcia85847@example.com,paid,2026-06-23 22:16:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1123,emma.dubois74@example.com,paid,2026-06-23 17:03:00 +0200,EUR,322.20,35.80,0.00,64.44,386.64,,1,Montre Automatique 38mm,289.00,WTC-010
#1123,,,,,,,,,,,1,Pochette Zippee,69.00,BAG-101
#1124,paul.robert41@example.com,paid,2026-06-23 21:44:00 +0200,EUR,268.00,0.00,0.00,53.60,321.60,,1,Ceinture Reversible,79.00,ACC-200
#1124,,,,,,,,,,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1125,arthur.durand70@example.com,paid,2026-06-23 16:27:00 +0200,EUR,187.20,20.80,0.00,37.44,224.64,,1,Montre Quartz 34mm,149.00,WTC-011
#1125,,,,,,,,,,,1,Bracelet Cuir Camel,59.00,BRW-002
#1126,paul.michel92441@example.com,paid,2026-06-23 22:38:00 +0200,EUR,170.10,18.90,0.00,34.02,204.12,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1127,emma.michel4@example.com,paid,2026-06-23 14:00:00 +0200,EUR,170.10,18.90,0.00,34.02,204.12,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1128,theo.michel47753@example.com,paid,2026-06-23 14:41:00 +0200,EUR,876.00,0.00,0.00,175.20,1051.20,,2,Montre Automatique 38mm,289.00,WTC-010
#1128,,,,,,,,,,,2,Montre Quartz 34mm,149.00,WTC-011
#1129,louis.thomas49869@example.com,paid,2026-06-23 16:14:00 +0200,EUR,313.20,34.80,0.00,62.64,375.84,,1,Bracelet Cuir Camel,59.00,BRW-002
#1129,,,,,,,,,,,1,Montre Automatique 38mm,289.00,WTC-010
#1130,manon.leroy6@example.com,paid,2026-06-23 22:15:00 +0200,EUR,289.00,0.00,0.00,57.80,346.80,,1,Montre Automatique 38mm,289.00,WTC-010
