id,Created (UTC),Amount,Amount Refunded,Currency,Fee,Net,Status,Description,Customer Email,order_id
ch_3Q000002,2026-06-22 20:23:00,312.12,0.00,eur,4.62,307.50,Paid,Shopify order #1081,emma.garcia18@example.com,#1081
ch_3Q000003,2026-06-22 09:33:00,76.70,0.00,eur,1.32,75.38,Paid,Shopify order #1082,manon.thomas37@example.com,#1082
ch_3Q000004,2026-06-22 17:06:00,226.80,0.00,eur,3.43,223.37,Paid,Shopify order #1083,theo.robert41575@example.com,#1083
ch_3Q000005,2026-06-22 18:51:00,312.12,0.00,eur,4.62,307.50,Paid,Shopify order #1084,lea.michel43@example.com,#1084
ch_3Q000006,2026-06-22 13:41:00,153.60,0.00,eur,2.40,151.20,Paid,Shopify order #1085,gabriel.bernard64@example.com,#1085
ch_3Q000007,2026-06-22 11:55:00,76.70,0.00,eur,1.32,75.38,Paid,Shopify order #1086,arthur.petit30@example.com,#1086
ch_3Q000008,2026-06-22 12:20:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1087,nathan.michel4@example.com,#1087
ch_3Q000009,2026-06-22 11:42:00,225.60,172.57,eur,3.41,222.19,Paid,Shopify order #1088,jade.petit21254@example.com,#1088
ch_3Q000010,2026-06-22 17:50:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1089,theo.lefebvre91@example.com,#1089
ch_3Q000011,2026-06-22 13:14:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1090,arthur.durand92@example.com,#1090
ch_3Q000012,2026-06-22 08:03:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1091,jade.leroy25@example.com,#1091
ch_3Q000013,2026-06-22 14:51:00,225.60,0.00,eur,3.41,222.19,Paid,Shopify order #1092,lea.michel43@example.com,#1092
ch_3Q000014,2026-06-22 12:24:00,64.70,0.00,eur,1.16,63.54,Paid,Shopify order #1093,louis.laurent2831@example.com,#1093
ch_3Q000015,2026-06-22 14:44:00,165.60,0.00,eur,2.57,163.03,Paid,Shopify order #1094,jade.lefebvre11475@example.com,#1094
ch_3Q000016,2026-06-22 16:55:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1095,theo.bernard88@example.com,#1095
ch_3Q000017,2026-06-22 11:01:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1096,theo.simon10136@example.com,#1096
ch_3Q000018,2026-06-22 13:13:00,512.40,0.00,eur,7.42,504.98,Paid,Shopify order #1097,hugo.garcia37905@example.com,#1097
ch_3Q000019,2026-06-22 09:45:00,76.70,50.31,eur,1.32,75.38,Paid,Shopify order #1098,arthur.garcia47062@example.com,#1098
ch_3Q000020,2026-06-22 12:42:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1099,paul.lefebvre60@example.com,#1099
ch_3Q000021,2026-06-22 18:00:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1100,hugo.lefebvre65056@example.com,#1100
ch_3Q000022,2026-06-22 13:55:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1101,lucas.thomas32908@example.com,#1101
ch_3Q000023,2026-06-22 16:29:00,188.40,0.00,eur,2.89,185.51,Paid,Shopify order #1102,lucas.garcia47677@example.com,#1102
ch_3Q000024,2026-06-22 17:56:00,64.70,0.00,eur,1.16,63.54,Paid,Shopify order #1103,louis.simon28492@example.com,#1103
ch_3Q000025,2026-06-22 15:30:00,80.42,0.00,eur,1.38,79.04,Paid,Shopify order #1104,sarah.simon72@example.com,#1104
ch_3Q000026,2026-06-22 22:03:00,225.60,0.00,eur,3.41,222.19,Paid,Shopify order #1105,lea.bernard12@example.com,#1105
ch_3Q000027,2026-06-23 22:30:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1106,lucas.simon73@example.com,#1106
ch_3Q000028,2026-06-23 13:31:00,117.60,0.00,eur,1.90,115.70,Paid,Shopify order #1107,lucas.martin50@example.com,#1107
ch_3Q000029,2026-06-23 16:40:00,88.70,45.01,eur,1.49,87.21,Paid,Shopify order #1108,gabriel.martin29@example.com,#1108
ch_3Q000030,2026-06-23 11:01:00,48.02,0.00,eur,0.92,47.10,Paid,Shopify order #1109,theo.petit95957@example.com,#1109
ch_3Q000031,2026-06-23 12:09:00,450.36,0.00,eur,6.56,443.80,Paid,Shopify order #1110,nathan.bernard2@example.com,#1110
ch_3Q000032,2026-06-23 12:26:00,99.50,0.00,eur,1.64,97.86,Paid,Shopify order #1111,manon.durand66@example.com,#1111
ch_3Q000033,2026-06-23 14:39:00,76.70,0.00,eur,1.32,75.38,Paid,Shopify order #1112,gabriel.robert16@example.com,#1112
ch_3Q000034,2026-06-23 17:18:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1113,ines.lefebvre77327@example.com,#1113
ch_3Q000035,2026-06-23 09:30:00,48.02,0.00,eur,0.92,47.10,Paid,Shopify order #1114,manon.robert2@example.com,#1114
ch_3Q000036,2026-06-23 19:50:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1115,lucas.petit75865@example.com,#1115
ch_3Q000037,2026-06-23 12:32:00,117.60,0.00,eur,1.90,115.70,Paid,Shopify order #1116,louis.petit34@example.com,#1116
ch_3Q000038,2026-06-23 15:38:00,204.12,0.00,eur,3.11,201.01,Paid,Shopify order #1117,camille.lefebvre45@example.com,#1117
ch_3Q000039,2026-06-23 18:00:00,76.70,0.00,eur,1.32,75.38,Paid,Shopify order #1118,sarah.petit9@example.com,#1118
